Entity,Code,Year,"Meat, game | 00001163 || Production | 005510 || tonnes","Meat, duck | 00001069 || Production | 005510 || tonnes","Meat, horse | 00001097 || Production | 005510 || tonnes","Meat, camel | 00001127 || Production | 005510 || tonnes","Meat, goose and guinea fowl | 00001073 || Production | 005510 || tonnes","Meat, sheep and goat | 00001807 || Production | 005510 || tonnes","Meat, beef and buffalo | 00001806 || Production | 005510 || tonnes","Meat, pig | 00001035 || Production | 005510 || tonnes","Meat, poultry | 00001808 || Production | 005510 || tonnes"
Africa (FAO),,1965,429630,18396,10261,85155,18189,841489,2163356,212582,435546
Africa (FAO),,1966,434120,18719,9781,96052,18780,878200,2226575,217894,464091
Africa (FAO),,1967,453020,19707,10071,96976,19120,904721,2228215,232148,493597
Africa (FAO),,1968,466890,19927,10526,100984,19417,957199,2292022,239929,521712
Africa (FAO),,1969,470610,20440,10331,101563,19673,1000206,2386285,257229,565861
Africa (FAO),,1970,475290,21270,11620,103686,20306,998133,2443793,259484,598260
Africa (FAO),,1971,481540,21470,13104,102664,20604,1015188,2449608,268503,623765
Africa (FAO),,1972,484400,22197,13215,108701,20943,1039348,2509114,289565,671183
Africa (FAO),,1973,470510,22150,13817,106798,21283,981457,2608156,301139,715909
Africa (FAO),,1974,481180,22175,12594,104289,20781,955517,2643082,294229,727701
Africa (FAO),,1975,494160,22482,11779,99632,21709,1005274,2577435,298313,796949
Africa (FAO),,1976,495920,23267,12248,102962,21426,1047576,2697665,311549,865468
Africa (FAO),,1977,516370,23695,13664,104497,21537,1093146,2836956,323250,911824
Africa (FAO),,1978,523280,24682,12326,102565,22493,1158046,3013051,327679,967865
Africa (FAO),,1979,533991,25109,13476,104403,22654,1192147,3100957,329663,1000962
Africa (FAO),,1980,552790,23575,13837,116146,20644,1231515,3161221,342198,1055573
Africa (FAO),,1981,568300,23719,15529,112504,20734,1259929,3128712,361316,1124855
Africa (FAO),,1982,585275,29612,13367,128043,26007,1245261,3250169,373642,1207122
Africa (FAO),,1983,598175,34217,12791,128120,30714,1273505,3321233,382538,1323815
Africa (FAO),,1984,611725,36437,9799,137116,32611,1287863,3402326,401875,1417716
Africa (FAO),,1985,623425,39410,10442,136764,35131,1303484,3431210,417523,1494096
Africa (FAO),,1986,644250,41214,10095,131913,36013,1290513,3328755,448220,1587055
Africa (FAO),,1987,656325,40658,10621,124051,34753,1392921,3263020,487233,1670438
Africa (FAO),,1988,667650,42016,11580,134171,36055,1487722,3284238,507848,1687668
Africa (FAO),,1989,681825,42533,12236,148562,36065,1551889,3352728,561243,1756292
Africa (FAO),,1990,688851,44267,12995,156160,27341,1564808,3470764,629244,1969253
Africa (FAO),,1991,679018,45423,13301,159348,25721,1587780,3692379,598348,1975000
Africa (FAO),,1992,643107,45896,12957,165776,28981,1626331,3782974,632279,2021024
Africa (FAO),,1993,707301,46886,13112,158791,33333,1596010,3782018,648248,2046855
Africa (FAO),,1994,722108,47463,13322,173466,29316,1622871,3701958,659092,2156787
Africa (FAO),,1995,736879,49469,13499,185462,29753,1693310,3726010,708174,2305449
Africa (FAO),,1996,749372,51267,13665,196755,30607,1745065,3731337,718919,2438026
Africa (FAO),,1997,763775,54059,13417,198644,31244,1830719,4133209,737436,2638036
Africa (FAO),,1998,782245,57870,13515,209393,31767,1942195,3974650,743261,2665198
Africa (FAO),,1999,796123,55984,13699,218614,32385,2049001,4192342,745838,2792616
Africa (FAO),,2000,813662,57525,14122,216739,33281,2072260,4218276,765836,2956938
Africa (FAO),,2001,831032,58071,14974,227001,33143,2171766,4216998,781964,3160327
Africa (FAO),,2002,846644,58481,15034,223486,33145,2212751,4510592,811374,3357616
Africa (FAO),,2003,866752,63691,15415,232444,33447,2270658,4557401,821897,3373001
Africa (FAO),,2004,886462,68708,15569,239163,33451,2345091,4647795,881434,3412624
Africa (FAO),,2005,904227,73791,15668,204486,33653,2455438,4904497,924861,3540535
Africa (FAO),,2006,924256,78979,15337,244214,33654,2507843,5073330,952601,3598478
Africa (FAO),,2007,941323,81391,15949,289563,33621,2600720,5170953,984910,3980027
Africa (FAO),,2008,982401,85319,16537,321491,33623,2635291,5344304,1024643,4232440
Africa (FAO),,2009,1011943,87134,16830,311057,33891,2699517,5475296,1035736,4456786
Africa (FAO),,2010,1044329,84100,16916,329817,34098,2794367,5703117,1075490,4768509
Africa (FAO),,2011,1087171,81667,17098,343762,34137,2830956,5774764,1125808,4878072
Africa (FAO),,2012,1101722,89556,16906,351362,34348,2772204,5803655,1197927,5078720
Africa (FAO),,2013,1103115,92365,16627,351586,36435,2871687,6081115,1252261,5410654
Africa (FAO),,2014,1114328,99975,16382,350402,38210,2939693,6215260,1314455,5620819
Africa (FAO),,2015,1160046,103155,16566,358091,39382,3008308,6352200,1349351,5798797
Africa (FAO),,2016,1141785,141118,17207,351481,37845,3058183,6373412,1384847,5823756
Africa (FAO),,2017,1149221,144476,17415,358270,38276,3073299,6484541,1459627,6295160
Africa (FAO),,2018,1155904,121824,17438,353573,39711,3148843,6207408,1604050,6568779
Africa (FAO),,2019,1149883,162353,17748,385555,27333,3284387,6348847,1592152,6849669
Africa (FAO),,2020,1153558,126297,17850,373201,35225,3382460,6226427,1597492,6767105
Albania,ALB,1961,,,,,,13000,7300,3580,1530
Albania,ALB,1962,,,,,,13100,7400,3640,1580
Albania,ALB,1963,,,,,,12500,7600,3200,1700
Albania,ALB,1964,,,,,,12600,6000,3200,1900
Albania,ALB,1965,,,,,,12600,6600,3640,2385
Albania,ALB,1966,,,,,,12800,6900,4300,2900
Albania,ALB,1967,,,,,,16200,8460,4880,3000
Albania,ALB,1968,,,,,,14050,7400,5570,3200
Albania,ALB,1969,,,,,,12100,8900,6100,3400
Albania,ALB,1970,,,,,,11600,9900,6280,3400
Albania,ALB,1971,,,,,,11725,10700,6440,3800
Albania,ALB,1972,,,,,,11160,10600,6560,3900
Albania,ALB,1973,,,,,,11150,10500,6160,4300
Albania,ALB,1974,,,,,,11400,10900,6400,4750
Albania,ALB,1975,,,,,,11600,9900,6400,5300
Albania,ALB,1976,,,,,,11900,12270,6600,5900
Albania,ALB,1977,,,,,,11340,11200,6800,6300
Albania,ALB,1978,,,,,,12400,13500,6800,6800
Albania,ALB,1979,,,,,,12600,14100,7000,7300
Albania,ALB,1980,,,,,,12600,14400,7000,7800
Albania,ALB,1981,,,,,,12600,14500,8800,8250
Albania,ALB,1982,,,,,,11900,14500,8800,8800
Albania,ALB,1983,,,,,,11400,14900,9200,7900
Albania,ALB,1984,,,,,,9900,14600,9600,7500
Albania,ALB,1985,,,,,,9800,16500,10400,6000
Albania,ALB,1986,,,,,,9000,15400,11200,6000
Albania,ALB,1987,,,,,,9600,16500,11200,6000
Albania,ALB,1988,,,,,,10900,18700,12000,6000
Albania,ALB,1989,,,,,,12000,19800,12000,6750
Albania,ALB,1990,,,,,,12000,22000,13300,6700
Albania,ALB,1991,,,,,,12500,21100,9000,6300
Albania,ALB,1992,,,,,,14800,23400,10600,2500
Albania,ALB,1993,,,,,,15200,24300,12500,3300
Albania,ALB,1994,,,,,,18500,28300,13550,3700
Albania,ALB,1995,,,,,,18300,30800,13600,3900
Albania,ALB,1996,,,,,,16600,32600,6360,3500
Albania,ALB,1997,,,,,,15700,32500,6600,3700
Albania,ALB,1998,,,,,,16700,32000,6500,5100
Albania,ALB,1999,,,,,,18100,33700,6200,5000
Albania,ALB,2000,,,,,,19500,35900,7800,4000
Albania,ALB,2001,,,,,,19464,35300,7800,4000
Albania,ALB,2002,,,,,,19500,37600,8600,6000
Albania,ALB,2003,,,,,,19500,40000,8600,8000
Albania,ALB,2004,,,,,,21400,39600,10100,9000
Albania,ALB,2005,,,,,,20900,40800,11300,9000
Albania,ALB,2006,,,,,,20990,48651,11250,10000
Albania,ALB,2007,,,,,,27400,49775,12500,13000
Albania,ALB,2008,,,,,,20700,39600,12500,16000
Albania,ALB,2009,,,,,,21600,39000,12500,17000
Albania,ALB,2010,,,,,,21000,40800,12500,17000
Albania,ALB,2011,,,,,,21800,41200,13100,17100
Albania,ALB,2012,,,,,,23040,41460,13260,16000
Albania,ALB,2013,,,,,,23280,41820,13494,17000
Albania,ALB,2014,,,,,,24751,38070,11900,12775
Albania,ALB,2015,,,,,,26251,38556,11424,12905
Albania,ALB,2016,,,,,,26300,38880,11424,14257
Albania,ALB,2017,,,,,,26235,39017,11561,14423
Albania,ALB,2018,,,,,,31434,38544,10317,17076
Albania,ALB,2019,,,,,,24888,36709,10232,13127
Albania,ALB,2020,,,,,,23669,32870,9002,13788
Algeria,DZA,1961,,,660,1950,,39900,23000,40,14290
Algeria,DZA,1962,,,660,1950,,37900,21000,40,15610
Algeria,DZA,1963,,,520,1950,,34213,19301,40,16620
Algeria,DZA,1964,,,600,2080,,37735,20600,80,18250
Algeria,DZA,1965,,,780,1950,,39444,23500,92,20090
Algeria,DZA,1966,,,600,2080,,38035,25300,36,21720
Algeria,DZA,1967,,,660,1950,,37700,28200,40,23168
Algeria,DZA,1968,,,540,1950,,44895,32400,50,24670
Algeria,DZA,1969,,,660,1950,,46743,33700,75,25990
Algeria,DZA,1970,,,688,2080,,50000,29800,80,27210
Algeria,DZA,1971,,,655,1009,,51260,37695,80,28650
Algeria,DZA,1972,,,937,1205,,52654,41938,80,30150
Algeria,DZA,1973,,,1372,1426,,55424,43877,82,32150
Algeria,DZA,1974,,,1143,1124,,53504,47710,80,34150
Algeria,DZA,1975,,,1005,1952,,54940,46020,80,36150
Algeria,DZA,1976,,,1000,1200,,58280,47000,80,38150
Algeria,DZA,1977,,,1781,1414,,60060,49820,80,40150
Algeria,DZA,1978,,,1542,1100,,63513,44482,82,42150
Algeria,DZA,1979,,,1902,1350,,70062,44800,82,44150
Algeria,DZA,1980,,,1950,1350,,71433,44800,84,60150
Algeria,DZA,1981,,,1950,1400,,74733,43700,88,72150
Algeria,DZA,1982,,,1800,1500,,84845,48000,88,88150
Algeria,DZA,1983,,,1950,1170,,81070,65600,88,100165
Algeria,DZA,1984,,,1040,1248,,88550,47500,92,150220
Algeria,DZA,1985,,,1105,1400,,86140,66800,96,160220
Algeria,DZA,1986,,,728,1500,,88148,66360,100,170230
Algeria,DZA,1987,,,767,1600,,115243,73552,100,172230
Algeria,DZA,1988,,,780,1700,,119082,81000,104,182240
Algeria,DZA,1989,,,780,1800,,137173,85000,108,186250
Algeria,DZA,1990,,,737,2000,,142405,89500,112,194260
Algeria,DZA,1991,,,755,2000,,152230,94270,116,197275
Algeria,DZA,1992,,,757,2000,,163750,96500,120,199285
Algeria,DZA,1993,,,700,2000,,177600,98200,120,204285
Algeria,DZA,1994,,,650,2000,,178100,100600,128,210355
Algeria,DZA,1995,,,611,2234,,178450,100600,128,208365
Algeria,DZA,1996,,,585,2100,,190000,99000,128,215325
Algeria,DZA,1997,,,520,2150,,178860,102000,128,220330
Algeria,DZA,1998,,,455,2200,,179160,103000,128,247340
Algeria,DZA,1999,,,455,3100,,175475,116980,128,234980
Algeria,DZA,2000,,,429,3900,,176350,132600,128,244020
Algeria,DZA,2001,,,429,3600,,177350,105000,128,241820
Algeria,DZA,2002,,,429,3600,,177250,116000,128,244872
Algeria,DZA,2003,,,439,3600,,177350,121000,128,258000
Algeria,DZA,2004,,,411,3900,,185100,125000,128,267912
Algeria,DZA,2005,,,394,3900,,191283,120000,128,270360
Algeria,DZA,2006,,,402,4200,,198890,122000,120,261332
Algeria,DZA,2007,,,416,4200,,201200,123000,124,265780
Algeria,DZA,2008,,,403,4500,,192600,125000,128,267360
Algeria,DZA,2009,,,390,4500,,212200,130500,128,269740
Algeria,DZA,2010,,,365,4800,,221418,126126,124,274820
Algeria,DZA,2011,,,345,5190,,270204,125386,116,277060
Algeria,DZA,2012,,,360,5400,,278698,135674,120,288825
Algeria,DZA,2013,,,340,5550,,298463,139948,120,287525
Algeria,DZA,2014,,,316,5520,,314043,145724,117,277239
Algeria,DZA,2015,,,316,5565,,323207,155037,116,279196
Algeria,DZA,2016,,,319,5795,,340428,164268,117,282616
Algeria,DZA,2017,,,326,5870,,343943,166291,111,285426
Algeria,DZA,2018,,,317,6473,,343481,153192,109,282904
Algeria,DZA,2019,,,335,6485,,347657,151590,107,284653
Algeria,DZA,2020,,,317,6780,,354671,144434,105,284020
Americas (FAO),,1961,247000,34994,152074,,1741,817658,13485019,7238478,4095356
Americas (FAO),,1962,233000,35803,157679,,1767,811757,13820643,7462384,4065216
Americas (FAO),,1963,247000,38731,176610,,1848,772291,14653180,7720045,4289600
Americas (FAO),,1964,247800,40865,210253,,1985,733549,15304946,7810512,4502266
Americas (FAO),,1965,248500,41410,203646,,2133,743975,15514525,7246223,4873467
Americas (FAO),,1966,252024,41838,195768,,2385,777534,16151518,7447080,5290381
Americas (FAO),,1967,254525,42944,202616,,2265,772166,16610739,8129427,5544942
Americas (FAO),,1968,256744,43646,215115,,2274,780367,17358915,8365961,5507928
Americas (FAO),,1969,271927,43804,220629,,2210,735766,17922807,8342002,5853031
Americas (FAO),,1970,276674,43687,222355,,2323,746787,17974755,8780785,6337133
Americas (FAO),,1971,267213,43455,214995,,2424,740498,17365225,9588766,6419508
Americas (FAO),,1972,288800,43965,224517,,2489,685187,18004851,9060337,6780269
Americas (FAO),,1973,274500,55300,248072,,2644,648609,17440228,8726453,6874274
Americas (FAO),,1974,280850,57652,214840,,2383,617260,18367468,9298151,7084135
Americas (FAO),,1975,276200,47950,231797,,1567,602452,19666232,8301287,6966854
Americas (FAO),,1976,272500,51033,257503,,1983,583305,21544497,8857736,7726254
Americas (FAO),,1977,273800,51193,253208,,1127,570294,21406521,9418771,7980879
Americas (FAO),,1978,273000,55962,266451,,1331,537543,21196153,9649935,8517296
Americas (FAO),,1979,275100,60641,266667,,1415,529544,19552675,10918402,9510322
Americas (FAO),,1980,266520,62071,235356,,1665,519763,19804447,11749227,10206412
Americas (FAO),,1981,267810,67156,229381,,1801,551205,20628388,11463034,10907784
Americas (FAO),,1982,265500,74343,210716,,1973,564853,20366128,10654923,11167868
Americas (FAO),,1983,264830,76467,196677,,2082,568038,20931752,11270761,11352764
Americas (FAO),,1984,251120,78210,210043,,2517,559925,21190552,10964893,11533289
Americas (FAO),,1985,251220,83592,208608,,2219,559891,21720883,10897176,12193989
Americas (FAO),,1986,252220,87080,211565,,2272,570776,22572350,10343590,13031400
Americas (FAO),,1987,249053,88053,234878,,2894,559206,21685692,10661417,14285988
Americas (FAO),,1988,247997,90845,253241,,3113,582951,22186467,11396843,14884430
Americas (FAO),,1989,246000,85877,264741,,2692,598944,22293594,11218800,15461304
Americas (FAO),,1990,202344,88009,268607,,2627,617731,22487314,11011216,16749675
Americas (FAO),,1991,248005,93100,268508,,1679,626564,22505915,11488976,18098152
Americas (FAO),,1992,256407,91046,265701,,1675,610723,22627488,12280110,19313614
Americas (FAO),,1993,256622,100381,245264,,1716,609199,22840526,12548377,20620481
Americas (FAO),,1994,266998,103264,220467,,1736,615351,23358485,13170893,22083470
Americas (FAO),,1995,272959,91219,218804,,1756,596993,24561974,13488695,23762535
Americas (FAO),,1996,272037,90072,216488,,1746,541775,25600612,13185015,24584260
Americas (FAO),,1997,272822,92514,220124,,1756,537804,25745127,13404862,25811766
Americas (FAO),,1998,278595,94765,214369,,1756,527191,25485722,14719805,26890423
Americas (FAO),,1999,288378,93551,227877,,1786,534298,26503565,15189901,28897527
Americas (FAO),,2000,288728,96550,233965,,1797,543870,27114957,15244915,30183535
Americas (FAO),,2001,281835,104810,250493,,1815,574946,27122424,15582702,31441529
Americas (FAO),,2002,289533,97461,244584,,1840,526855,27306244,16176555,32824626
Americas (FAO),,2003,291649,98666,248994,,1885,524214,27924612,16578771,33681317
Americas (FAO),,2004,284384,103102,223788,,1891,512425,28894002,16983886,35604947
Americas (FAO),,2005,286054,106116,233292,,1901,523150,29324562,16897843,36162931
Americas (FAO),,2006,295647,106352,232211,,1917,532082,29892984,17238514,37216390
Americas (FAO),,2007,302054,105563,230807,,1934,531010,30988681,18050616,39045639
Americas (FAO),,2008,306328,99662,235587,,1957,534186,30940223,18864043,41302259
Americas (FAO),,2009,306621,97967,227700,,1957,528074,30988567,18741205,40463427
Americas (FAO),,2010,306543,101412,224337,,1957,554931,30237289,18572079,42330189
Americas (FAO),,2011,306520,103673,222935,,2057,546964,30145388,18972545,43820570
Americas (FAO),,2012,310743,104462,209932,,2081,539129,30505663,19347897,44062991
Americas (FAO),,2013,312734,105988,198974,,2179,530755,31055733,19328331,45037451
Americas (FAO),,2014,314342,111193,198385,,2135,529828,30984525,19385257,46148124
Americas (FAO),,2015,315845,114027,193170,,2053,517769,29727722,20560064,47945036
Americas (FAO),,2016,317397,112935,191568,,2096,517843,30322872,21125272,48649666
Americas (FAO),,2017,318661,112753,194020,,2083,520479,31391043,21663019,49779073
Americas (FAO),,2018,320207,116233,197716,,2067,534495,32437735,22338873,50459262
Americas (FAO),,2019,323859,116675,197719,,2073,549568,33037509,23332067,51637962
Americas (FAO),,2020,324852,104712,196972,,2072,557914,33012496,24114887,52034885
Angola,AGO,1961,4000,,,,,1659,19000,8000,3060
Angola,AGO,1962,4000,,,,,1699,20000,8000,3150
Angola,AGO,1963,4000,,,,,1724,21000,8000,3240
Angola,AGO,1964,5000,,,,,1832,24000,8000,3330
Angola,AGO,1965,5000,,,,,1929,26500,9000,3420
Angola,AGO,1966,5000,,,,,2025,28000,9000,3825
Angola,AGO,1967,6000,,,,,2132,31000,9000,4095
Angola,AGO,1968,6000,,,,,2272,32000,9000,4426
Angola,AGO,1969,6000,,,,,2367,36000,9000,4894
Angola,AGO,1970,6000,,,,,2479,41000,9000,5773
Angola,AGO,1971,6000,,,,,2645,43000,9500,6075
Angola,AGO,1972,6000,,,,,2881,43000,9800,6210
Angola,AGO,1973,6000,,,,,3032,44000,10350,6345
Angola,AGO,1974,6000,,,,,3183,44000,11000,6435
Angola,AGO,1975,6000,,,,,3325,52000,11500,6480
Angola,AGO,1976,6000,,,,,3465,44000,12250,6525
Angola,AGO,1977,6000,,,,,3605,45000,13000,6570
Angola,AGO,1978,6000,,,,,3745,46000,13750,6615
Angola,AGO,1979,6000,,,,,3885,47000,15750,6660
Angola,AGO,1980,6000,,,,,3935,48000,16500,6705
Angola,AGO,1981,6000,,,,,4030,50000,17000,6750
Angola,AGO,1982,6000,,,,,4125,51000,17750,6795
Angola,AGO,1983,6000,,,,,4175,52000,18500,6840
Angola,AGO,1984,6000,,,,,4270,53000,19250,6885
Angola,AGO,1985,6000,,,,,4320,54000,20000,6894
